year,quarter,distance,fare_per_mile,itin_fare,itin_id,miles_flown,round_trip,total_covid_cases,total_covid_deaths,total_covid_tests_per_thousand,total_covid_vaccinations,oil_price_per_barrel,cumulative_inflation,inflation_adjusted_itin_fare,inflation_adjusted_fare_per_mile
1993,1,2478.484,0.23251053333333335,409.3693333333333,100504798437.432,2465.102,0.8173333333333334,0.0,0.0,0.0,0.0,17.953333333333333,74.96776270775753,440.0588363744996,0.2499413278233208
1993,2,2591.907,0.20488093333333332,371.1023333333333,126669558835.462,2574.702,0.818,0.0,0.0,0.0,0.0,18.023333333333333,74.96776270775753,398.9230449989618,0.22024039852681052
1993,3,2585.987666666667,0.21937236666666668,382.24533333333335,123622528935.55066,2562.1633333333334,0.832,0.0,0.0,0.0,0.0,16.23333333333333,74.96776270775753,410.9014107788144,0.23581822219557247
1993,4,2421.928,0.22167720000000002,380.3616666666667,121848481066.27434,2406.323,0.833,0.0,0.0,0.0,0.0,15.163333333333334,74.96776270775753,408.87652983646046,0.23829584372732007
1994,1,2487.7076666666667,0.22184876666666667,396.7866666666667,106059982784.93634,2473.2703333333334,0.7873333333333333,0.0,0.0,0.0,0.0,13.843333333333334,72.01610574137199,425.36169721009986,0.2378254509055263
1994,2,2553.3196666666668,0.21594726666666667,382.459,117845878848.94867,2536.7826666666665,0.7846666666666666,0.0,0.0,0.0,0.0,16.176666666666666,72.01610574137199,410.0022077857394,0.23149894785749356
1994,3,2555.6723333333334,0.19607680000000002,361.5903333333333,117519160791.42967,2540.8056666666666,0.7813333333333333,0.0,0.0,0.0,0.0,17.026666666666667,72.01610574137199,387.6306610137246,0.21019748756222983
1994,4,2430.219,0.19819436666666665,351.334,114543005467.87334,2416.145666666667,0.7966666666666666,0.0,0.0,0.0,0.0,16.496666666666666,72.01610574137199,376.6357064945392,0.21246755313387752
1995,1,2450.6686666666665,0.22476496666666665,394.1546666666667,114300681243.22533,2439.5153333333333,0.7676666666666667,0.0,0.0,0.0,0.0,17.223333333333333,69.40866414921739,421.51241554818006,0.24036560275054333
1995,2,2552.6253333333334,0.21409136666666667,391.276,124637612872.72734,2537.7483333333334,0.788,0.0,0.0,0.0,0.0,18.14333333333333,69.40866414921739,418.4339444736492,0.22895116243288025
1995,3,2492.886,0.2081392333333333,368.00233333333335,128016892306.12534,2476.4486666666667,0.7786666666666666,0.0,0.0,0.0,0.0,16.456666666666667,69.40866414921739,393.54488369379504,0.22258589947604224
1995,4,2432.0093333333334,0.2045518,364.1793333333333,128693314533.553,2417.605666666667,0.7966666666666666,0.0,0.0,0.0,0.0,16.91,69.40866414921739,389.4565343707526,0.21874946718731783
1996,1,2402.1013333333335,0.21670219999999998,359.199,130285194473.17833,2389.1446666666666,0.7816666666666666,0.0,0.0,0.0,0.0,18.3,66.60324446068084,383.1228188070321,0.2311352696017673
1996,2,2538.336333333333,0.21908443333333333,375.33633333333336,134226397327.46967,2509.228666666667,0.7933333333333333,0.0,0.0,0.0,0.0,19.41,66.60324446068084,400.33495089730894,0.23367616740416303
1996,3,2502.091,0.21787906666666668,358.683,134152082013.66733,2481.478666666667,0.77,0.0,0.0,0.0,0.0,20.763333333333332,66.60324446068084,382.5724515328904,0.2323905194067316
1996,4,2481.4153333333334,0.2123857,365.15366666666665,133874375113.53267,2458.740333333333,0.8003333333333333,0.0,0.0,0.0,0.0,23.206666666666667,66.60324446068084,389.47408559338066,0.22653127669705278
1997,1,2500.3386666666665,0.22232726666666666,391.0226666666667,124083625686.40767,2481.8263333333334,0.793,0.0,0.0,0.0,0.0,20.993333333333336,63.67204026074644,415.9198776415311,0.23648329734092832
1997,2,2476.5716666666667,0.22929993333333334,380.306,135750237802.937,2457.614,0.7773333333333333,0.0,0.0,0.0,0.0,18.39,63.67204026074644,404.5208589434035,0.24389992792031978
1997,3,2506.358333333333,0.22984553333333335,391.20633333333336,135988861387.23866,2481.4446666666668,0.7863333333333333,0.0,0.0,0.0,0.0,18.563333333333333,63.67204026074644,416.1152387395923,0.24448026738548603
1997,4,2560.046333333333,0.21677546666666667,388.64166666666665,131520674901.75,2536.9376666666667,0.8036666666666666,0.0,0.0,0.0,0.0,18.74,63.67204026074644,413.38727451367026,0.23057800290780872
1998,1,2504.2903333333334,0.227862,403.739,130647711076.051,2479.243,0.7983333333333333,0.0,0.0,0.0,0.0,14.073333333333334,61.33435032343903,428.502069265235,0.24183776773339943
1998,2,2616.1856666666667,0.22589983333333336,403.482,142110777332.205,2580.918,0.7983333333333333,0.0,0.0,0.0,0.0,13.336666666666666,61.33435032343903,428.2293063372018,0.23975525284900645
1998,3,2532.222,0.21932763333333333,384.9893333333333,142382315489.47333,2502.885,0.7816666666666666,0.0,0.0,0.0,0.0,12.996666666666664,61.33435032343903,408.60240397478725,0.23277995123181075
1998,4,2460.0916666666667,0.227357,378.458,143473998305.15567,2437.554,0.8146666666666667,0.0,0.0,0.0,0.0,11.85,61.33435032343903,401.6704755547081,0.2413017938864861
1999,1,2397.5376666666666,0.24599696666666668,408.20033333333333,142876343265.254,2375.84,0.7726666666666666,0.0,0.0,0.0,0.0,11.786666666666669,59.782071224695414,432.60339473461113,0.26070317484899236
1999,2,2566.9306666666666,0.23116136666666667,404.7416666666667,149394828512.51666,2541.045,0.789,0.0,0.0,0.0,0.0,16.106666666666666,59.782071224695414,428.9379618109353,0.24498067195313122
1999,3,2515.517,0.2258611,392.2776666666667,147006701258.75168,2491.768,0.786,0.0,0.0,0.0,0.0,20.65333333333333,59.782071224695414,415.72883807519065,0.23936354436708804
1999,4,2436.693333333333,0.22348446666666666,385.7026666666667,149689885542.71033,2417.1293333333333,0.8026666666666666,0.0,0.0,0.0,0.0,23.736666666666668,59.782071224695414,408.7607709568883,0.23684483097054634
2000,1,2373.66,0.24738100000000002,400.83733333333333,148222839139.58966,2355.0003333333334,0.7746666666666666,0.0,0.0,0.0,0.0,26.67333333333333,57.59404402772183,423.9231763572879,0.26162867220562186
2000,2,2493.613,0.24923893333333336,415.3446666666667,156067402067.83267,2467.441,0.7913333333333333,0.0,0.0,0.0,0.0,26.76,57.59404402772183,439.26604568534606,0.26359361143315574
2000,3,2494.0873333333334,0.2715482666666667,415.19866666666667,154055819354.03366,2471.5273333333334,0.759,0.0,0.0,0.0,0.0,29.84,57.59404402772183,439.111636954918,0.2871878294927182
2000,4,2435.269333333333,0.24610633333333332,408.78766666666667,150593523803.202,2419.5603333333333,0.7983333333333333,0.0,0.0,0.0,0.0,29.643333333333327,57.59404402772183,432.33140153865634,0.2602805923308345
2001,1,2501.499,0.25415689999999996,430.589,146530290753.76566,2476.105666666667,0.8006666666666666,0.0,0.0,0.0,0.0,26.073333333333327,54.21718675622248,453.93432422817506,0.2679365721126825
2001,2,2555.7813333333334,0.23126676666666665,398.09866666666665,151198435618.047,2533.2266666666665,0.8026666666666666,0.0,0.0,0.0,0.0,26.746666666666663,54.21718675622248,419.6824564247365,0.24380540014554103
2001,3,2525.161,0.20991636666666666,354.2676666666667,149693421083.897,2502.6096666666667,0.8126666666666666,0.0,0.0,0.0,0.0,25.27666666666667,54.21718675622248,373.4750629120245,0.22129744152142097
2001,4,2563.1573333333336,0.2027337,350.39,144063417961.87534,2546.3016666666667,0.839,0.0,0.0,0.0,0.0,19.313333333333333,54.21718675622248,369.3871600675128,0.21372535087467995
2002,1,2537.4363333333336,0.2197221666666667,384.0296666666667,143637498244.38068,2519.366666666667,0.833,0.0,0.0,0.0,0.0,20.92333333333333,51.39101563736846,403.76534127154673,0.23101391196970977
2002,2,2579.521333333333,0.21801373333333335,367.5196666666667,149952456476.46,2562.1163333333334,0.824,0.0,0.0,0.0,0.0,25.196666666666665,51.39101563736846,386.4068756033738,0.22921768051222774
2002,3,2588.9003333333335,0.2064177,359.107,149511202460.14667,2569.127,0.822,0.0,0.0,0.0,0.0,26.936666666666667,51.39101563736846,377.5618734524885,0.21702571524852962
2002,4,2622.88,0.20163623333333333,370.6483333333333,142001719617.97632,2604.658,0.8323333333333334,0.0,0.0,0.0,0.0,26.65333333333334,51.39101563736846,389.6963276276312,0.21199852415362672
2003,1,2500.804666666667,0.22768876666666665,394.59566666666666,138180049741.26935,2484.1946666666668,0.7966666666666666,0.0,0.0,0.0,0.0,31.33,49.80498401086243,414.24849753575563,0.23902880204995294
2003,2,2555.5423333333333,0.22077200000000002,370.20466666666664,146914936651.223,2541.5506666666665,0.8073333333333333,0.0,0.0,0.0,0.0,26.51333333333333,49.80498401086243,388.64270417074664,0.23176754593004611
2003,3,2677.984,0.20054823333333333,347.85833333333335,148756279447.95532,2656.612666666667,0.8096666666666666,0.0,0.0,0.0,0.0,28.38333333333333,49.80498401086243,365.1834120630453,0.21053653488790666
2003,4,2526.2786666666666,0.20803246666666667,357.7183333333333,147056389188.40634,2511.4686666666666,0.82,0.0,0.0,0.0,0.0,29.366666666666664,49.80498401086243,375.5344892053924,0.21839352034274023
2004,1,2550.712666666667,0.21629040000000002,380.043,146568384773.98734,2533.3173333333334,0.801,0.0,0.0,0.0,0.0,32.123333333333335,47.5348890375013,398.1083018344791,0.22657174016387674
